,productName,offer_Price,market_Price
0,VITRON V008 Home Theater Sound System 2.1 Multimedia Bluetooth Speaker Subwoofer black 25w V008 ,"KSh 2,650","KSh 3,290 "
1,Bluetooth Smart Watch Smartwatch DZ09 Android Phone Call Relogio 2G GSM SIM TF Card Camera Black one size ,KSh 899,"KSh 1,299 "
2,YOUTUBE New fashion Net red Bri Hall the same goods synthetic lady wig detached complete short wig COLORMIX ,KSh 799,KSh 999 
3,COCOCICI Fastion Men&aposs National Style Printing 3D fashion leisure large size slim long sleeve shirts DEEP BLUE 3XL COCOCICI Fastion men shirts Long Sleeve Shirt Men 3D Printing Slim Fit Turn-do,"KSh 2,998",
4,FΩL 32 Inch Support T2 Function  Full HD 1080P LED Digital TV(13450KSh only for top40 customers) black 32 Inch ,"KSh 13,450","KSh 17,000 "
5,"TAGWOOD MP-28 Cuboid LED Mini Wireless Bluetooth  Portable Speaker Subwoofer  Alarm Clock Stereo white 500W MP-28 BLUETOOTH, USB PORT, LIGHT, AUX, ALARM, CLOCK, PORTABLE.","KSh 1,499","KSh 2,299 "
6,SuTai Electric Kettle 2.2L  Double-layer VDE 2 Plug 220-240V ironing Kettle(6 Months Warranty ) as picture 2.2L ,KSh 999,"KSh 1,800 "
7,X96 Mini TV BOX Android 7.1 OS Smart TV Box Amlogic S905W  Quad Core 2.4GHz WiFi Set Top Box ,"KSh 2,399","KSh 4,998 "
8,4Pcs Bedding Set (1 Duvet cover+1 Bed sheet+2 Pillow covers) Fashion Button Double Pure Color Cotton double color 5*6 ,"KSh 1,490","KSh 3,790 "
9,4Pcs Bedding Set (1 Duvet cover+1 Bed sheet+2 Pillow covers)Fashion Button Double Pure Color Cotton color as picture 5*6 ,"KSh 1,490","KSh 3,790 "
10,"5000mAh Portable Power Bank with LED Flashlight, USB Output Port (LPB-213) gold 5000 ","KSh 1,150","KSh 1,500 "
11,Sathiya High Quality Exquisite Kitchen Wares Double Burner Gas Stove（8822） black one size ,"KSh 3,250","KSh 3,950 "
12,Lucky Men 2018 New arrival Fashion Popular Pocket Design Hooded Sweater light gray xxl Lucky Men 2018 New arrival Fashion Popular Pocket Design Hooded Sweater,KSh 899,"KSh 1,599 "
13,Lucky Men Sports Pants Casual Fitness Cotton Stretch Guard Pants fitness Muscle Pants red XXL Lucky Men Sports Pants Casual Fitness Cotton Stretch Guard Pants fitness Muscle Pants,"KSh 1,199","KSh 1,599 "
14,Men Running Shoes Sport Big Size Black/Gray  Shoes Summer/Autumn Sneakers Mens Athletic Trainers black 39 Men Running Shoes Sport Big Size Black/Gray  Shoes Summer/Autumn Sneakers Mens Athletic Trainers,"KSh 2,025",
15,New women&aposs diamond transparent pointed shallow flat sole sandals shoes pink 36 New women&aposs diamond transparent pointed shallow flat sole sandals shoes,KSh 898,
16,Simple Fashion Tassel Shoulder Diagonal Cross Bag BROWN ,"KSh 1,099","KSh 2,599 "
17,RONI Lady diamond necklace earrings two-piece set women sweet love style jewelry suit 01 all code ,KSh 299,
18,Sundabests High Quality Stainless Steel Vacuum Flask Thermos  Thermal Water Bottle 350ml(10915) silver 350mL ,KSh 359,KSh 499 
19,4Pcs Bedding Set (1 Duvet cover+1 Bed sheet+2 Pillow covers)Fashion Button Double Pure Color Cotton color as picture 5*6 ,"KSh 2,190","KSh 3,790 "
20,"GoldenTech 26"" HD LED TV DV3T2 Energy Saving black 26 Inch ","KSh 11,300",
21,2EST Solo 3.0 Wireless Bluetooth Headset Headphone FM AUX MIC black beats Solo 3.0 Wireless Bluetooth Headset Headphone FM AUX MIC,"KSh 1,299",
22,"JayJero J55 wired earphone earbud headphone earpiece stereo heavy bass cute in ear surround headset white Buy any JayJero line of audio products and just &aposListen and Believe&apos.
Finished to perfection. Extra bass, very clear and loud.",KSh 799,
23,UC18 Portable Projector With HDMI TF Card USB LED For Home Theater EU Plug Black ,"KSh 3,999","KSh 4,599 "
24,"(+Free Cover) iBRIT i7 - 5.5&apos&apos - 32GB - 3GB, Fingerprint , 8MP Camera - 4G Dual SIM - 4000mAh grey Finger Print ID: 32GB, 3GB RAM: Back-8MP, 5MP Front: Android 7.0 Nougat;5.5inch Full HD IPS Display4G Dual Sim","KSh 9,499","KSh 9,999 "
25,"SOHI 1 Pairs PU Thick Heel Sandals Shoes Sexy Causal High Heels Women Shoes red 34 SOHI High Quality 1 Pairs PU Elegant Sexy Sandals Shoes,Shopping Made Fun","KSh 1,599","KSh 2,359 "
26,ShoeAll 1 Pairs Casual PU Leather Quality Boots For Men Lace Up Boot Shoes black 39 ,"KSh 1,699","KSh 3,398 "
27,"Men Watch Ultra Thin Stainless Steel Clock Male Quartz Sport Watch Luxury Business Wrist watch Black Black Gold 23cm Luxury,Men, Watch,Steel,Business,Casual",KSh 799,KSh 999 
28,Breathed Yeezy Shoes Sports Shoes Running Shoes #3 eur40 ,"KSh 1,369",
29,16 x 52 Dual Focus Monocular Spotting Telescope Zoom Optic Lens Binoculars 98-8000M black ,KSh 799,
30,"13x4"" Lace Frontal Closures Body Wave Brazilian Unprocessed Virgin Human Hair Lace Frontals Closure natural black 8inches ","KSh 1,799",
31,New High Quality1080P Miracast 2nd Generation Chromecast 2 Digital HDMI Media Video Streamer New High Quality1080P Miracast 2nd Generation Chromecast 2 Digital HDMI Media Video Streamer,"KSh 1,899",
32,TAGWOOD MP-2044 Home Theater Sound System Bluetooth Speaker Subwoofer And FM Radio WHITE pmpo: 9000W MP-2044 Multimedia 2.1  Subwoofer  With Bluetooth,"KSh 4,200","KSh 4,899 "
33,"Men&aposs shoes tide black and white color trend sports shoes men&aposs casual shoes blue 39 -Product category: Sports shoes
-Sole material: hard rubber
-Style: Fashion
-Function: breathable
-Breathable and cool
-Perfect design","KSh 1,599",
34,"Women Handbags 4 Pcs/Set  PU Leather Zipper Handbag Solid Shoulder Messenger Bag Purse (4 Colors） black sets bags Women Shoulder Bags Set, 4 Pcs/Set Women Fashion Leather Zipper Handbag Solid Shoulder Messenger Bag Purse (4 Colors)",KSh 999,
35,3Pcs/Set High Quality Cooking Pots Cookware Set Non-Stick + 3Pcs/Set Truners For Kitchen Red 3Pcs 3Pcs/Set High Quality Cooking Pots Cookware Set Non-Stick + 3Pcs/Set Truners For Kitchen,"KSh 2,899",
36,SanDisk Ultra 32GB Dual Drive m3.0 for Android Devices and Computers flashdisk flash disk black sandisk 32gb SanDisk Ultra 16GB 32GB 64GB Dual Drive m3.0 for Android Devices and Computers flashdisk flash disk,KSh 799,
37,"Super Bass Sport Earphones Stereo Running Headset DJ HiFi blue Earphone,Bluetooth,Headset,Earbuds,headphone,wireless,sport,bass,in-ear,Stereo",KSh 499,KSh 599 
38,Sport Bluetooth Headphones Stereo Handsfree Sports Earbuds With Mic Sports Subwoofer Black sweat-resistant headphones workout earbuds,KSh 839,"KSh 1,688 "
39,Women Boots Thigh High Suede Mid-Calf Boots Autumn Flock Winter Ladies Fashion Snow Boots Shoes brown 35 ,"KSh 1,599","KSh 2,099 "
40,3 In 1 Rechargeable Electric Shaver 3D Triple Blade Heads Shaving Razors Men Beard Trimmer Barber Gold as pictures ,KSh 859,"KSh 1,699 "
41,RONI Lady  fashion creative pin earring imitation pearl temperament ear ornaments dress accessories 01 all code ,KSh 229,
42,"M2 Smart Watch Waterproof Heart Rate Monitor Bluetooth Sport Smart Band Bracelet Pedometer black one size Smart Watch,Bluetooth,Android,Bracelet,Sport,Pedometer,Waterproof",KSh 799,KSh 999 
43,Oasis Brand Korean Rose Gold Hollow Out Bling Zircon Gilded Camellia Flower Bracelet For Women golden one size ,KSh 249,
44,New Sports and Leisure Men&aposs Shoes Lightweight Breathable Non-slip Tide Mesh Sneakers 153 black 44=27cm ,"KSh 1,288",
45,Breathed Yeezy Shoes Sports Shoes Running Shoes white black 44=27cm ,"KSh 1,369",
46,"DUXIU 4th generation Smartphone Octa-Core 6.1""Dual SIM Fingerprint&Face ID Mobile Phone3+32G 4800mAh blue Android 8.1,4800mAh,1080p,","KSh 6,999","KSh 12,999 "
47,6pcs Kitchen Cleaning Tool Set Nano Emery Magic Wipe Spongex2/Brushx2/Leachate Rack x1 green(6 in 1) Rack x1+brush x3+Sponge x2 ,KSh 598,
48,Spring and autumn women u00a0shirt new Bohemian resort style fashion trend shirts Spring and autumn women u00a0shirt new Bohemian resort style fashion trend shirts,KSh 889,"KSh 1,079 "
49,New Women Handbag Pouch Bags Card Bag Shoulder Bag Totes Purse 4pcs Set Composite Bags Crossbody Bag brown as picture ,"KSh 1,398",
50,New autumn summer fashion trend sexy round collar high waist European belt pocket dress xxl red ,KSh 666,KSh 748 
51,3Pcs/Set High Quality Cooking Pots Cookware Set Non-Stick + 3Pcs/Set Truners For Kitchen black 3pcs 3Pcs/Set High Quality Cooking Pots Cookware Set Non-Stick + 3Pcs/Set Truners For Kitchen,"KSh 3,299",
52,TAGWOOD S1 2 IN 1 SPEEDY BLENDER white & green HARD PLASTIC JAR,"KSh 1,799","KSh 1,899 "
53,Long Life EA-Egg Steamer yellow normal ,KSh 680,KSh 890 
54,QCG new Phone 6.3inch 8G+128G 26MP+8MP 9800mAh Face&Fingerprint&Screen unlocking Dual SIM Smartphone sea blue 19:9 big field of vision，2560*1440 HD resolution，9800mAh long standby，8G+128G large memory，Helio P60 ten-core processor,"KSh 18,999","KSh 19,999 "
55,Sandisk 32GB Memory Card U1 Class 10 Micro SD Card SDXC SDHC Microsd Flash TF Card as shown SanDisk 32GB 80MB/S Sandisk 32GB Memory Card U1 Class 10 Micro SD Card SDXC SDHC Microsd Flash TF Card,KSh 599,
56,KiliFun Collection R9 Inkax Brand Earbuds/Earphone Stereo 3.5mm wired control with mic and button black Wired earphones with a high sound quality. Music courier and passion. Noise isolation with precise bass.,KSh 299,KSh 390 
57,Women Boots High Heels Ladies Shoes Women Shoes Casual Shoes Autumn Comfortable Boots brown 43 ,"KSh 1,499","KSh 1,899 "
58,"Licer Portable Wireless Business Bluetooth Earphone with Charging Box Stereo Earbuds V4.2 2Pcs Black Fashion style,Energy saving design,Long time standby.
High-fidelity sound and voice quality effect,comfortable to wear,easy to carry.",KSh 999,"KSh 1,899 "
59,"SOFTCARE Diaper Premium, Medium 6-9Kgs,Count 72 For Baby white m72(6-9kgs) ","KSh 1,125","KSh 1,350 "
60,"TOTO Gentleman Business flat shoes men shoes formal shoes party shoes casual shoes leather shoes black 39 Super Fibre Leather Fashion business high-end luxury men&aposs leather shoes, exquisite workmanship, gentleman&aposs choice","KSh 1,999","KSh 4,000 "
